Punto,Fecha,Hora,Especie,N,Observaciones
SG1-02,2020-06-19,23:17:52,L. gymnocercus,1,pasa por enfrente y luego por atrás en el otro sentido 
SG1-02,2020-06-20,05:00:21,L. europeus,1,
SG1-02,2020-06-20,19:26:22,L. gymnocercus,1,merodea buscando en el suelo
SG1-02,2020-06-22,02:30:42,L. gymnocercus,1,
SG1-02,2020-06-22,04:41:01,L. gymnocercus,1,
SG1-02,2020-06-22,21:09:21,L. gymnocercus,1,
SG1-02,2020-06-25,22:37:42,C. chinga,1,
SG1-02,2020-06-26,02:40:57,C. chinga,1,2 individuos
SG1-02,2020-06-26,22:33:21,L. gymnocercus,1,me genera duda con L. gymnocerus pero la forma de la cara y la cola me parece que en C.t
SG1-02,2020-06-27,05:17:01,L. europeus,1,
SG1-02,2020-06-27,18:21:59,L. europeus,1,
SG1-02,2020-06-27,19:27:02,C. chinga,1,
SG1-02,2020-06-27,20:24:22,L. europeus,1,
SG1-02,2020-06-27,22:34:43,L. europeus,2,en EK000154 hay 2 ind?
SG1-02,2020-06-27,23:22:51,L. gymnocercus,1,acá la cola si parece tener un punto negro mas arriba pero puede ser C.thous
SG1-02,2020-06-28,22:02:56,L. europeus,1,
SG1-02,2020-06-29,00:28:12,L. geoffroyi,1,melánico
SG1-02,2020-06-29,06:07:27,L. gymnocercus,1,
SG1-02,2020-07-02,01:56:06,L. gymnocercus,1,
SG1-02,2020-07-02,04:50:50,L. geoffroyi,1,
SG1-02,2020-07-02,19:13:27,L. gymnocercus,1,
SG1-03,2020-06-29,20:36:49,L. gymnocercus,1,este y el siguiente propongo zorro gris por el hábitat pero no sé... 
SG1-03,2020-07-02,03:33:12,L. gymnocercus,1,por la cola pensaría zorro gris
SG3-02,2020-06-21,13:21:36,M. gouazoubira,1,por la forma de la cola y porque en movimiento me parecen pintas blancas.
SG3-02,2020-06-21,18:52:26,C. thous,1,por las patas negras si.husmeando los cebos
SG3-02,2020-06-22,02:07:26,C. thous,1,
